ID,Text,Comment
Building.AridFarmhouse.Description,Heeft gespecialiseerde boeren in dienst die <YellowHighlight>Arid</YellowHighlight> gewassen planten en oogsten.,"Arid is a keyword, must be the same as in NaturalResources.Arid."
Building.AridFarmhouse.DisplayName,Dorre boerderij,A farmhouse that specializes in dry plants.
Building.AridFarmhouse.FlavorDescription,'Er was eens het gerucht dat we vis aten. Walgelijk!' —Ma'Ngonel,"Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.CombustionEngine.Description,Verbrandt brandstof om kracht te creëren.,
Building.CombustionEngine.DisplayName,Verbrandingsmotor,
Building.CombustionEngine.FlavorDescription,"Hoe geweldig deze uitvinding ook is, ze werd een doorn in het oog van andere bevernaties dan Badfurs.","Badfurs is one of the playable factions, with the Engine being one of their unique buildings."
Building.BadwaterTap.Description,"Dicht een Vuilwaterafvoer af. Kan geopend of gesloten worden. Wanneer deze open is, stroomt er onder alle weersomstandigheden vuilwater.","Badtide Drain must be the same as Building.BadtideDrain.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterTap.DisplayName,Vuilwaterkraan,Name of the building that can either stop flow of badwater or enforce flow with full power. It's a mechanical building that functions like a pump. Badwater must be the same as Good.Badwater.DisplayName.
Building.Distillery.Description,Distillaten,
Building.Distillery.DisplayName,Distilleerderij,
Building.Distillery.FlavorDescription,Het destilleerapparaat wordt uitsluitend voor niet-medische doeleinden gebruikt.,A reference to the Herbalist flavor description.
Building.FoodDehydrator.Description,Droogt voedsel,
Building.FoodDehydrator.DisplayName,Voedseldroger,
Building.FoodDehydrator.FlavorDescription,"Zorgt voor een droog, droog dessert!","This is a reference to ""Dry Dry Desert"" from Super Mario."
Building.FoodPress.Description,Drukt voedsel in repen.,
Building.FoodPress.DisplayName,Voedselpers,
Building.FoodPress.FlavorDescription,Kom genieten van de heerlijke rabarberrepen van Beavara,"This is a reference to the German ""Rhabarberbarbara"" tongue-twister."
Building.FuelStation.Description,Een plek waar robots komen tanken.,Bots should be the same as Bot.PluralDisplayName
Building.FuelStation.DisplayName,Brandstofstation,A mechanically powered building where bots come to refuel
Building.FuelStation.FlavorDescription,Harde werkers hebben een hoog octaangehalte nodig.,Referring the octane rating of fuel
Building.HonorToTheFallen.DisplayName,Eer aan de gevallenen,A monument of two beavers standing in front of a headstone of a dead beaver
Building.HonorToTheFallen.FlavorDescription,"Niet iedereen die de woestenij trotseert, haalt het.",
Building.HydrationBarrier.Description,"Voorkomt dat de hydratatie van de bodem zich eronder verspreidt, maar maakt verontreiniging mogelijk.",Name of the building that stops spreading soil moisture that's placed on the ground and is presented as square with objects sticking out of the ground.
Building.HydrationBarrier.DisplayName,Hydratatiebarrière,Name of the building that stops spreading soil moisture that's placed on the ground and is presented as square with objects sticking out of the ground. Barrier should be the same between Building.IrrigationBarrier.DisplayName and Building.ContaminationBarrier.DisplayName.
Building.HydrationBarrier.FlavorDescription,De Badfurs beheersen graag elk aspect van het leven in de woestijn.,Iron Teeth must be the same as Faction.Badfurs.DisplayName.
Building.IndustrialRefinery.Description,Produceert brandstof voor robots en motoren.,Bots should be the same as Bot.PluralDisplayName.
Building.IndustrialRefinery.DisplayName,Industriële raffinaderij,A building where badwater is processed to make fuel
Building.IndustrialRefinery.FlavorDescription,"Verminderen, verfijnen, recyclen.","Adapted ""Reduce, reuse, recycle"" tagline."
Building.LargeBadwaterPump.Description,Pompt en filtert grote hoeveelheden vuilwater zodat bevers kunnen drinken. Een lage verontreiniging met vuilwater vertraagt ​​de pompsnelheid.,Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
