ID,Text,Comment
LV.BCEv.BeaverChronicles,Beverkronieken,
LV.BCEv.ChronicleDialogHotkey,Dialoogvenster Kronieken weergeven,
LV.BCEv.Details,Details,
LV.BCEv.CurrentEvent,<YellowHighlight>Huidige gebeurtenis</YellowHighlight>,
LV.BCEv.PastEvents,<YellowHighlight>Eerdere gebeurtenissen</YellowHighlight>,
LV.BCEv.Pages,Pagina's:,
LV.BCEv.Unknown,<RedHighlight>Onbekend</RedHighlight>,
LV.BCEv.WorkingSpeedDesc,{0:+0%;-0%;0%} Werksnelheid,
LV.BCEv.MovementSpeedDesc,{0:+0%;-0%;0%} Bewegingssnelheid,
LV.BCEv.ListText,Wisselstroom{0:0} - {1},
LV.BCEv.EntryTitle,{0} (van AC{1:0} tot AC{2:0}),
LV.BCEv.EntryTitleActive,{0} (gestart AC{1:0}),
LV.BCEv.Remaining,Overig:,
LV.BCEv.Amount,Hoeveelheid:,
LV.BCEv.Max,Max,
LV.BCEv.Pay,Betalen,
LV.BCEv.PayGuide.Title,Betalingen voor evenementen,
LV.BCEv.PayGuide.Content,"Voor sommige evenementen zijn middelen nodig om ze te voltooien.
Selecteer een opslaggebouw met het vereiste item en gebruik vervolgens Gebeurtenisbetaling om te betalen. Dit werkt met <YellowHighlight>Stapels, magazijnen en tanks</YellowHighlight>.
Voor Wetenschap selecteer je een <YellowHighlight>Wetenschappelijk productiegebouw</YellowHighlight>, zoals een <YellowHighlight>Uitvinder</YellowHighlight>.
Voer het bedrag in dat je wil bijdragen en klik vervolgens op Betalen. Je kunt in kleinere bedragen in de loop van de tijd betalen totdat aan de evenementvereiste is voldaan.",
Name_ChronicleEventPaymentFragment,Evenementbetaling,
LV.BCEv.DisabledNoDc,<RedHighlight>Er is geen districtscentrum.</RedHighlight>,
LV.BCEv.DisabledNoSpawnLocation,<RedHighlight>Er is geen geschikte spawnlocatie.</RedHighlight>,
LV.BCEv.UnknownConsequences,[[C]]<YellowHighlight>Onbekende gevolgen.</YellowHighlight>,
LV.BCEv.GenericOk,Ik zie,
LV.BCEv.StartBonus,Een nieuw begin,
LV.BCEv.StartBonus.Content,"De laatste bocht van de rivier mondt uit in een rustig stuk land. Het water stroomt helder, bessenstruiken hangen aan de oever en net voorbij de oever wacht een groepje jonge bomen.
Het is nog niet veel, maar het is genoeg.
De bevers verzamelen zich rond het kamp, ​​moe maar hoopvol. Voordat het werk begint, melden de verkenners dat er een kleine zegen in de buurt is gevonden.",
LV.BCEv.StartBonus.C1,Verzamel de bessen,
LV.BCEv.StartBonus.C1N,[[C]]In de buurt wordt een verborgen stukje rijpe bessen gevonden. [[+]][[goed:Bessen:{0:+0}]],
LV.BCEv.StartBonus.C2,Vul de vaten,
LV.BCEv.StartBonus.C2N,[[C]]Schoon water verzamelt zich in een ondiep zwembad. [[+]][[goed:Water:{0:+0}]],
LV.BCEv.StartBonus.C3,Claim de gevallen boomstammen,
LV.BCEv.StartBonus.C3N,[[C]]Droge gevallen stammen liggen vlakbij de boomgrens. [[+]][[goed:Logboek:{0:+0}]],
LV.BCEv.StartBonus.C4,Red het jong,
LV.BCEv.StartBonus.C4N,—[[C]]Een jong bevertje wordt vlakbij de rivier gevonden, nauwelijks levend. [[+]]{0:+0} [[icon:UI/images/game/ico-child]] Kindbever,
LV.BCEv.FirstDeath,Eerste passage,
