ID,Text,Comment
LV.BDl.PickDecal,Kies een spandoek,
LV.BDl.Filter,Filter,
LV.BDl.Reload,Spandoeken opnieuw laden,
LV.BDl.BrowseDir,Blader door de map,
LV.BDl.Position,"Positie [{0}, {1}, {2}]",
LV.BDl.Rotation,"Rotatie [{0}, {1}, {2}]",
LV.BDl.Scale,"Schaal [{0}, {1}]",
LV.BDl.Uniform,Uniform,
LV.BDl.Color,"Kleur [{0}, {1}, {2}]",
LV.BDl.FlipX,Draai X om,
LV.BDl.FlipY,Draai Y om,
LV.BDl.Add,Spandoek toevoegen,
LV.BDl.Change,Spandoek wijzigen,
LV.BDl.Remove,Banier verwijderen,
LV.BDl.RemoveConfirm,Weet je zeker dat u=je dit spandoek wilt verwijderen?,
LV.BDl.DecalName,Spandoek {0} [{1}],"First placeholder is the index/number, second one is the name"
LV.BDl.PosTemplate,Positie,
LV.BDl.PosCustom,Selecteer een sjabloon,
LV.BDl.PosTop,Bovenkant,
LV.BDl.PosFront,Voorkant,
LV.BDl.PosRight,Rechts,
LV.BDl.PosBack,Rug,
LV.BDl.PosLeft,Links,
LV.BDl.PosFloor,Vloer,
LV.BDl.KeyBindingCopy,Spandoeken bouwen: kopiëren,
LV.BDl.KeyBindingPaste,Spandoeken bouwen: plakken,
LV.BDl.CopyNotf,Spandoeken gekopieerd,
LV.BDl.CopyOneNotf,"Dit gebouw heeft meerdere spandoeken. Alleen de eerste werd gekopieerd. Om een ​​specifiek spandoek te kopiëren, gebruik de knop Kopiëren in het paneel van dat spandoek.",
LV.BDl.CopyButton,Kopiëren,
LV.BDl.PasteButton,Plakken,
LV.BDl.NoDecal,Het gebouw heeft geen spandoek om te kopiëren.,
LV.BDl.BannersDesc,{0} spandoeken,
LV.MT.BldSet.BuildingDecalComponent,Spandoeken bouwen,
Name_BuildingDecalFragment,Spandoeken bouwen,
