ID,Text,Comment
minorunara.ToriiGates.PrimitiveToriiGate.DisplayName,Primitieve Torii-poort,
minorunara.ToriiGates.PrimitiveToriiGate.Description,Primitieve toriipoort gemaakt van samengevoegde boomstammen.,
minorunara.ToriiGates.PrimitiveToriiGate.Flavor,"Het is niet bekend waarom de toriipoort werd gebouwd, maar de gangbare theorie is dat het de bedoeling was om de beverkoning heerlijke boomstammen aan te bieden.",
minorunara.ToriiGates.SimpleToriiGate.DisplayName,Eenvoudige Torii-poort,
minorunara.ToriiGates.SimpleToriiGate.Description,Een eenvoudige toriipoort gemaakt van planken.,
minorunara.ToriiGates.SimpleToriiGate.Flavor,"""Hé, dat is een smakelijke torii-poort!"" —Pina",
minorunara.ToriiGates.DemoToriiGate.DisplayName,Demoversie van Torii Gate,
minorunara.ToriiGates.DemoToriiGate.Description,Dit is een reproductie van de toriipoort die bestond toen Timberborn nog een demoversie was.,
minorunara.ToriiGates.DemoToriiGate.Flavor,"""Het is een voorproefje van de geschiedenis."" —Pina",
minorunara.ToriiGates.IronToriiGate.DisplayName,IJzeren Torii-poort,
minorunara.ToriiGates.IronToriiGate.Description,Shinmei torii-poort van ijzer.,
minorunara.ToriiGates.IronToriiGate.Flavor,Veel bevers knagen aan de eenvoudige toriipoort. Daarom hebben we dit tegengegaan door ze van ijzer te maken.,
minorunara.ToriiGates.TreatedToriiGate.DisplayName,Behandelde Torii-poort,
minorunara.ToriiGates.TreatedToriiGate.Description,Myojin torii gate.,
minorunara.ToriiGates.TreatedToriiGate.Flavor,Luxe torii gemaakt van het fijnste hout bedekt met dennenhars. Een groot aantal bevers houdt de wacht om ervoor te zorgen dat niemand eraan knaagt.,
minorunara.ToriiGates.HugeToriiGateFT.DisplayName,Grote houten Torii-poort,
minorunara.ToriiGates.HugeToriiGateFT.Description,De toriipoort van de Itsukushima-schrijn is zo groot dat het onmogelijk lijkt om hem tot de bodem van de dam te laten zinken.,
minorunara.ToriiGates.HugeToriiGateFT.Flavor,De combinatie van natuur en technologie heeft geleid tot de ontwikkeling van een geavanceerde toriipoort die bestand is tegen het knagen van bevers.,
minorunara.ToriiGates.HugeToriiGateIT.DisplayName,Grote metalen Torii-poort,
minorunara.ToriiGates.HugeToriiGateIT.Description,De torii-poort van Kumano Hongu Taisha Shrine is zo groot dat je hem vanuit een ander district kunt zien. Het spreekt voor zich dat hij oneetbaar is.,
minorunara.ToriiGates.HugeToriiGateIT.Flavor,"""Maar ik dacht dat torii oorspronkelijk gemaakt waren om door de grote bevers gegeten te worden?"" —Pina",
minorunara.ToriiGates.ToriiCategory.DisplayName,Torii-poorten,
minorunara.ToriiGates.ToriiCategory.Description,Leve de Shinto Bevers!,
minorunara.ToriiGates.OrdinaryToriiGateNeed.DisplaynameLocKey,Gewone Torii-poort,
minorunara.ToriiGates.GorgeousToriiGateNeed.DisplaynameLocKey,Prachtige Torii-poort,
minorunara.ToriiGates.GreatToriiGateNeed.DisplaynameLocKey,Grote Torii-poort,
minorunara.Lantern.ForwardFacingBench.DisplayName,Voorwaarts gerichte bank,
minorunara.Lantern.ForwardFacingBench.Description,Een bank met een pad dat naar de achterkant leidt.,
minorunara.Lantern.ForwardFacingBench.Flavor,"""hoe kwamen ze binnen?"" -pmduda",
minorunara.Lantern.LanternCategory.DisplayName,lantaarns,
minorunara.Lantern.LanternCategory.Description,Gloeit 's nachts.,
minorunara.Lantern.IndoorLantern.DisplayName,Binnenlantaarn,
minorunara.Lantern.IndoorLantern.Description,"Hoewel het een binnenlantaarn wordt genoemd, kan hij ook buiten worden geplaatst.",
minorunara.Lantern.IndoorLantern.Flavor,"De voorouders van de bever waren nachtdieren om roofdieren te ontwijken. Maar nu, als kroon op de schepping, genieten wij van het daglicht.",
minorunara.Lantern.StreetLantern.DisplayName,Straatlantaarn,
minorunara.Lantern.StreetLantern.Description,Deze lantaarns worden vaak voor wachthuisjes en op straten geplaatst. Ze worden ook gebruikt voor winkelreclame.,
minorunara.Lantern.StreetLantern.Flavor,"Het idee om winkelreclames te laten oplichten, maakte de stad levendig.",
minorunara.Lantern.GardenLantern.DisplayName,Tuinlantaarn,
minorunara.Lantern.GardenLantern.Description,Deze lantaarns worden vaak in heiligdommen en tuinen geplaatst.,
minorunara.Lantern.GardenLantern.Flavor,"Wat is Zen? Kan ik het eten?"" -Pina""",
minorunara.Lantern.PaperLantern.DisplayName,Papieren lantaarn,
minorunara.Lantern.PaperLantern.Description,Deze lantaarns worden gebruikt tijdens festivals en voor bars om een ​​sfeer te creëren die anders is dan het alledaagse leven.,
minorunara.Lantern.PaperLantern.Flavor,"Het zal je waarschijnlijk wel opwinden om laat op te blijven, maar doe het met mate, want je moet morgen werken.",
minorunara.Lantern.ModernLantern1.DisplayName,Moderne lantaarn (driehoek),
minorunara.Lantern.ModernLantern1.Description,Een lantaarn met een driehoekig dak.,
minorunara.Lantern.ModernLantern1.Flavor,"Bevers die de duisternis van de nacht hebben overwonnen, hebben niets meer te vrezen. Behalve droogte.",
minorunara.Lantern.ModernLantern2.DisplayName,Moderne lantaarn (vierkant),
minorunara.Lantern.ModernLantern2.Description,"Een vierkante lantaarn, vergelijkbaar met een straatlantaarn.",
minorunara.Lantern.ModernLantern2.Flavor,Het heden wordt uiteindelijk het verleden. Maar ook in de toekomst blijven dammen belangrijk.,
