ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,Deelnemen aan co-op spel,Join co-op game
BeaverBuddies.JoinCoopGame.EnterIp,Voer het IP-adres of de domeinnaam van de host in:,
BeaverBuddies.FirstTimer.Message,Het lijkt erop dat dit de eerste keer is dat je BeaverBuddies gebruikt. We raden je aan snel onze gids door te nemen om er zeker van te zijn dat je klaar bent om te spelen. Zou je dat nu willen doen?,It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?
BeaverBuddies.Saving.HostCoopGame,Co-op spel hosten,Host co-op game
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Deelnemen mislukt met foutcode:
{0}
Wil je de probleemoplossingsgids openen?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,Kan geen verbinding maken met de host. Wil je de probleemoplossingsgids openen?,Failed to connect to Host. Would you like to open the troubleshooting guide?
BeaverBuddies.ClientDesynced.Message,"Een verbonden speler is gedesynchroniseerd en kan niet verder spelen. Sorry daarvoor! De host zou op Rehost moeten drukken en daarna zou de client opnieuw verbinding moeten maken. Mogelijk moet je het spel opnieuw opstarten als de problemen aanhouden. Wil je, voordat je opnieuw laadt, een foutrapport indienen om ons te helpen dit probleem op te lossen?",
BeaverBuddies.ClientDesynced.FailedToRehostMessage,Opnieuw hosten is mislukt. Sla handmatig op en host opnieuw.,Failed to Rehost. Manually save and Host again.
BeaverBuddies.ClientDesynced.SaveAndRehostButton,Opslaan en opnieuw hosten,Save and Rehost
BeaverBuddies.ClientDesynced.WaitForRehostButton,Opnieuw verbinden (wachten op opnieuw hosten),Reconnect (wait for Rehost)
BeaverBuddies.ClientDesynced.PostBugReportButton,Bugrapport indienen,Post Bug Report
BeaverBuddies.Editor.StartingLocation1,Startlocatie - Speler 1,
BeaverBuddies.Editor.StartingLocation2,Startlocatie - Speler 2,
BeaverBuddies.Editor.StartingLocation3,Startlocatie - Speler 3,
BeaverBuddies.Editor.StartingLocation4,Startlocatie - Speler 4,
BeaverBuddies.NewGame.MaxStartingLocations,Max. aantal startlocaties,
BeaverBuddies.ClientDesynced.ReportSuccess,Succes!,
BeaverBuddies.ClientDesynced.ReportFailed,Mislukt :(,
BeaverBuddies.ClientDesynced.ConsentAgreement,"Ja, ik ga akkoord",
BeaverBuddies.ClientDesynced.TracingEnabled,Ingeschakeld,
BeaverBuddies.ClientDesynced.EnableTracing,Logging inschakelen,
BeaverBuddies.ClientDesynced.NeedToEnableTracing,"Om deze desynchronisatie te kunnen melden, moeten *alle spelers* eerst meer gedetailleerde logging inschakelen door hieronder op Logregistratie inschakelen te drukken. Als er opnieuw een desynchronisatie plaatsvindt, kun je een gedetailleerd, geautomatiseerd bugrapport plaatsen. De logmodus kan enige vertraging veroorzaken, maar deze zal alleen actief zijn totdat je het spel opnieuw start.",
