ID,Text,Comment
academicunwinds.Rainborn.Notification.RainStarted,Er komt een storm aan.,
academicunwinds.Rainborn.Notification.AcidRainStarted,Deze storm lijkt gevaarlijk!,
academicunwinds.Rainborn.Notification.RainEnded,De regen is gestopt.,
academicunwinds.Rainborn.Notification.SandStormStarted,Er komt een zandstorm aan.,
academicunwinds.Rainborn.Notification.SandStormEnded,De zandstorm is voorbij.,
academicunwinds.Rainborn.Notification.RainApproaching,Onweerswolken aan de horizon.,Orphan since 0.2.0 forecast removal; kept for re-wiring later
academicunwinds.Rainborn.Notification.AcidRainApproaching,Er nadert een gevaarlijke storm!,Orphan since 0.2.0 forecast removal; kept for re-wiring later
academicunwinds.Rainborn.Notification.SandStormApproaching,Vanuit de duinen komt een zandstorm aanstormen.,Orphan since 0.2.0 forecast removal; kept for re-wiring later
academicunwinds.Rainborn.Settings.WeatherMode,Weermodus,How the scheduler picks each event's type
academicunwinds.Rainborn.Settings.WeatherMode.Tooltip,"Uit: helemaal geen weer. De mod blijft geladen, maar de planner is stil.

Cyclusgebonden: de vanillecyclus beslist. Droogte zorgt altijd voor een zandstorm, vuilwatergolf zorgt altijd voor zure regen, gematigde weer zorgt altijd voor schone regen. Als het verwachte weer van de cyclus echter is uitgeschakeld (bijvoorbeeld droogte met uitgeschakelde zandstormen), kan deze gebeurtenis niet worden beïnvloed.

Gewogen (standaard): 90% kans dat de gebeurtenis overeenkomt met de cyclus, 5% kans op de andere twee weertypes. De cyclus bepaalt meestal, terwijl je toch af en toe een verrassing krijgt. Uitgeschakelde weertypes herverdelen hun aandeel onder de anderen.

Willekeurig: de cyclus wordt volledig genegeerd. De kans op zandstormen en zure regen bepalen elke worp.",
academicunwinds.Rainborn.Settings.WeatherMode.Off,Uit,Picker label
academicunwinds.Rainborn.Settings.WeatherMode.Strict,Cyclusgebonden,Picker label
academicunwinds.Rainborn.Settings.WeatherMode.Biased,Gewogen (standaard),Picker label
academicunwinds.Rainborn.Settings.WeatherMode.Random,Willekeurig,Picker label
academicunwinds.Rainborn.Settings.SandStormEnabled,Zandstormen inschakelen (experimenteel),Allow sandstorms to roll at all
academicunwinds.Rainborn.Settings.SandStormEnabled.Tooltip,"Hoofdschakelaar voor zandstormen. Uit betekent dat de planner nooit een zandstorm kiest, ongeacht de modus. Strikte droogtes die normaal gesproken zand zouden kiezen, zullen in plaats daarvan niets kiezen; Vooringenomen keuzes herverdelen het zandaandeel naar de andere typen; Willekeurig kiest zand opnieuw uit als regen.

Gemarkeerd als experimenteel omdat zandafzetting het terrein tijdens stormen hervormt.",
academicunwinds.Rainborn.Settings.RainIntensityMin,Minimale regenintensiteit,Lower end of the random intensity range
academicunwinds.Rainborn.Settings.RainIntensityMin.Tooltip,"Onderkant van het willekeurige intensiteitsbereik. Elke storm kiest een intensiteit tussen dit en het maximum, dus twee opeenvolgende stormen voelen zelden hetzelfde.

10 is ongeveer een motregen; 30+ is een zware storm.",
