ID,Text,Comment
Good.Sawdust.DisplayName,Zaagsel,
Good.Sawdust.PluralDisplayName,Zaagsel,
Good.DrySawdust.DisplayName,Droog zaagsel,
Good.DrySawdust.PluralDisplayName,Droog zaagsel,
Good.SawdustPellet.DisplayName,Pellet,
Good.SawdustPellet.PluralDisplayName,Pellets,
Good.ChipNChew.DisplayName,Chip'n'Chew-reep,
Good.ChipNChew.PluralDisplayName,Chip'n'Chew-repen,
Recipe.SawdustToDirt.DisplayName,Bodem van zaagsel (10 zaagsel),
Recipe.SawdustToDirtIronTeeth.DisplayName,Bodem van zaagsel (10 zaagsel + 2 extracten),
Recipe.SawdustToDrySawdust.DisplayName,Droog zaagsel (4 zaagsel),
Recipe.DrySawdustToPelletMill.DisplayName,Langzaam persen van pellets (4 droog zaagsel / 4 uur),
Recipe.DrySawdustToPelletPress.DisplayName,Snelle pelletpersing (2 droog zaagsel / 2 uur),
SoilMod.PelletPress.LockReason,Snelle pelletpersing is nog niet ontgrendeld. Een bekwame bever zal het op tijd vinden.,
SoilMod.PelletTechnologyUnlocked.Title,Ontdekking: snelle pelletpersing,
SoilMod.PelletTechnologyUnlocked.Body,Je kolonie heeft een ontdekking gedaan! Pellets kunnen nu sneller en efficiënter worden gemaakt.,
