ID,Text,Comment
Lapantouflemagic.logstairs.DisplayName,Bruine boomstamtrappen,-
Lapantouflemagic.Birchlogstairs.DisplayName,Berkenhouten trappen,-
Lapantouflemagic.Pinklogstairs.DisplayName,Everblossom trappen,-
Lapantouflemagic.Scramblelogstairs.DisplayName,Gemengde trappen,-
Lapantouflemagic.logstairs.Description,"Een stel boomstammen gerangschikt in primitieve trappen
<color=green>Meer varianten beschikbaar met de ""Meer groepen"" mod </color>",-
Lapantouflemagic.logstairs.FlavorDescription,"""En <i>daarom</i> hebben we onderwijs nodig"" 
—Een wetenschappelijke bever",-
Lapantouflemagic.Crappyplatform_brown.DisplayName,Bruin slecht platform,-
Lapantouflemagic.Crappyplatform_birch.DisplayName,Berken slecht platform,-
Lapantouflemagic.Crappyplatform_Pink.DisplayName,Everblossom slecht platform,-
Lapantouflemagic.Crappyplatform_scramble.DisplayName,Gemengd slecht platform,-
Lapantouflemagic.Crappyplatform.Description,"Een zielig excuus voor een platform, een schande voor de beversoort.
<color=green>Meer varianten beschikbaar met de ""Meer groepen"" mod </color>",-
Lapantouflemagic.Crappyplatform.FlavorDescription,"""En <i>daarom</i> hebben we onderwijs nodig"" 
—Een wetenschappelijke bever",-
Logstairs.Logstairsgroup.Description,Houten trappen,-
Logstairs.Crappyplatforms.Description,Slechte platforms,-
