ID,Text,Comment
Landscaping.GlassPlate.DisplayName,Groot glazen raam,
Landscaping.GlassPlate.Description,Glas dat 's nachts oplicht,
Landscaping.GlassPlate.FlavorDescription,"We houden de lichten 's nachts aan, zodat niemand verdwaalt.",
Landscaping.BlockLog.DisplayName,Boomstamblok,
Landscaping.BlockLog.Description,Een blok gemaakt van boomstammen,
Landscaping.BlockLog.FlavorDescription,Het lijkt erop dat ze het gewoon samengeperst hebben.,
Landscaping.BlockMetal.DisplayName,Metalen blok-1,
Landscaping.BlockMetal.Description,Een blok van metaal,
Landscaping.BlockMetal.FlavorDescription,Deze is sterk...,
Landscaping.BlockMetal2.DisplayName,Metaalblok-2,
Landscaping.BlockMetal2.Description,Een blok van metaal,
Landscaping.BlockMetal2.FlavorDescription,Deze ook... heel sterk...,
Landscaping.BlockMetalForged.DisplayName,Gesmeed metalen blok,
Landscaping.BlockMetalForged.Description,Een gesmeed metalen blok,
Landscaping.BlockMetalForged.FlavorDescription,Nog sterker...,
Landscaping.BlockBrownPlate.DisplayName,Plankblok: bruin,
Landscaping.BlockBrownPlate.Description,Een blok gemaakt van planken,
Landscaping.BlockBrownPlate.FlavorDescription,"Planken zijn makkelijk te maken, zeggen ze.",
Landscaping.BlockMosPlate.DisplayName,Plankblok: bemost,
Landscaping.BlockMosPlate.Description,Tussen de gaten groeit mos,
Landscaping.BlockMosPlate.FlavorDescription,Blijkbaar is dit hier al eeuwen.,
Landscaping.BlockWhitePlate.DisplayName,Plankblok: Wit,
Landscaping.BlockWhitePlate.Description,Een blok gemaakt van planken,
Landscaping.BlockWhitePlate.FlavorDescription,Ik heb de stevige soort gekozen.,
Landscaping.TriangleLog.DisplayName,Driehoekig blok,
Landscaping.TriangleLog.Description,Een driehoekig blok gemaakt van boomstammen,
Landscaping.TriangleLog.FlavorDescription,Ze persten het samen en sneden het vervolgens schoon.,
Landscaping.TriangleMetal.DisplayName,Driehoekig metalen blok,
Landscaping.TriangleMetal.Description,Een driehoekig metalen blok,
Landscaping.TriangleMetal.FlavorDescription,Wie heeft dit ook gemaakt?,
Landscaping.TriangleMosPlate.DisplayName,Driehoekig bemost plankblok,
Landscaping.TriangleMosPlate.Description,Een driehoekig bemost plankblok,
Landscaping.TriangleMosPlate.FlavorDescription,Deze is ook oud.,
