ID,Text,Comment
Building.Mine.DisplayName,Ruïnemijn,
Building.EfficientMine.DisplayName,Efficiënte ruïnemijn,
Building.Smelter.DisplayName,Metaalbewerker,
Building.Smelter.Description,Maak blokken en onderdelen en glansjes van ruwe metalen.,
Building.Tunnel.Description,Tunnels door het terrein en vervangen het door mijnhout. Gebruik het lagengereedschap om onder terrein of structuren te kijken.,
LV.CPl.GrowthSect,"<b>Groeiopties:</b> Stel deze lager in dan de standaardwaarde ×1 om de moeilijkheidsgraad te verlagen, behalve de Output Multiplier. Voorbeelden:
- Planttijdvermenigvuldiger ×0,5: Eik planten 1 uur → 0,5 uur.
- Groeisnelheid ×0,5: Aardappel groeit in 5 dagen → 2,5 dagen.
- Uitgangsvermenigvuldiger ×1,5: Wortel levert 3 → 4 op.
- Oogsttijdvermenigvuldiger ×0,5: eikenkap 2 uur → 1 uur.
- Vermenigvuldiger van de slooptijd ×0,5: sloop van den 1,2 uur → 0,6 uur.",
LV.CPl.PlantingTime,Vermenigvuldiger van de planttijd,
LV.CPl.PlantingTimeDesc,Vermenigvuldiger voor de tijd die nodig is om te planten.,
LV.CPl.GrowthRate,Multiplier voor groeipercentages,
LV.CPl.GrowthRateDesc,Vermenigvuldiger voor groeitijd.,
LV.CPl.OutputMul,Uitgangsvermenigvuldiger,
LV.CPl.OutputMulDesc,"Vermenigvuldiger voor output (afgerond, levert altijd minimaal 1 op).",
LV.CPl.HarvestTime,Vermenigvuldiger van de oogsttijd,
LV.CPl.HarvestTimeDesc,Vermenigvuldiger voor de tijd die nodig is om te oogsten/kappen.,
LV.CPl.DemolishTime,Tijdvermenigvuldiger slopen,
LV.CPl.DemolishTimeDesc,Vermenigvuldiger voor de tijd die nodig is om te slopen.,
LV.CPl.TreeSect,"Boomopties: <b>Logboek levert planten op</b> die zijn geplant door boswachters (bijvoorbeeld den, eik).",
LV.CPl.CropSect,"Gewasopties: alle andere planten die door boeren of bosbouwers zijn geplant (bijvoorbeeld wortel-, bosbessen- en paardenbloemstruiken</b>).",
LV.CPl.ProductSect,"Productopties: <b>Producten</b> die op volwassen planten groeien (bijvoorbeeld dennenhars, bosbessen).",
LV.CPl.AllSect,Voor alle planten:,
LV.CPl.ReproducibleChanceMultiplier,Reproduceerbare kansvermenigvuldiger,
LV.CPl.ReproducibleChanceMultiplierDesc,"Past de kans aan dat bomen zich elk uur voortplanten (standaard: 1–3%, afhankelijk van het type).
Standaard: ×1. ×0 schakelt reproductie uit. Voorbeeld: ×2 zorgt ervoor dat een den met een basiskans van 3% zich voortplant met een kans van 6%.",
ModSetting.TWMoreMines.MainHeader1,<b><YellowHighlight>Algemene instellingen:</YellowHighlight><b>,
ModSetting.TWMoreMines.DirtclawsSectionHeader1,<b><YellowHighlight>Vuilklauwen-instellingen:</YellowHighlight><b>,
ModSetting.TWMoreMines.DirtclawsSectionHeader2,Deze instellingen zijn alleen van toepassing op de Vuilklauwen-factie.,
ModSetting.TWMoreMines.DirtclawsSectionHeader3,"Als je de plantgerelateerde opties op 1 zet, zullen Vuilklauwen voedsel en hout verbouwen op een niveau dat dicht bij het vanille Volkstaarten-niveau ligt.
De instellingen en code voor plantengroei zijn sterk gebaseerd op de Configurable Plants-mod van Luke Vo. Bedankt, Luuk!",
ModSetting.TWMoreMines.DirtclawsSectionHeaderPay,<b>Betalen:</b>,
ModSetting.TWMoreMines.DirtclawsSectionHeaderPlants,<b>Plantengroei:</b>,
ModSetting.TWMoreMines.UndergroundVisRange,Ondergronds zichtbereik,
ModSetting.TWMoreMines.UndergroundVisRangeDesc,"Erts zal zoveel ondergrondse ruimtes zichtbaar zijn. Geldig bereik is 1 - 5, standaard is 1",
ModSetting.TWMoreMines.AllowHidingOre,Verberg erts,
ModSetting.TWMoreMines.AllowHidingOreDesc,Verberg erts dat buiten het ondergrondse zichtbereik ligt. (erts wordt altijd getoond in de kaarteditor),
ModSetting.TWMoreMines.DirtclawTreeGrowthRateScale,De groei van de Vuilklauwen-boom,
ModSetting.TWMoreMines.DirtclawTreeGrowthRateScaleDesc,"Schaal toegepast op de groeitijd van de boom. Vanille = 1, standaard = 4",
ModSetting.TWMoreMines.DirtclawBushGrowthRateScale,Vuilklauwen Bush-groei,
ModSetting.TWMoreMines.DirtclawBushGrowthRateScaleDesc,"Schaal toegepast op de groeitijd van de struik. Vanille = 1, standaard = 1,5",
ModSetting.TWMoreMines.DirtclawCropGrowthRateScale,Vuilklauwen-gewasgroei,
ModSetting.TWMoreMines.DirtclawCropGrowthRateScaleDesc,"Schaal toegepast op de groeitijd van het gewas. Vanille = 1, standaard = 4",
ModSetting.TWMoreMines.DirtclawBushAndTreeProductScale,Vuilklauwen Fruit-/noot-/sapgroei,
ModSetting.TWMoreMines.DirtclawBushAndTreeProductScaleDesc,"Schaal toegepast op de productietijd van struiken en bomen die vruchten of andere producten opleveren. Vanille = 1, standaard = 4",
ModSetting.TWMoreMines.HideOrePlacementButton,Knop voor ertsplaatsing verbergen,
ModSetting.TWMoreMines.HideOrePlacementButtonDesc,"Verbergt de ertsplaatsingsknop, omdat je deze doorgaans alleen aan het begin van een spel nodig hebt",
Faction.TWDirtclaws.DisplayName,Vuilklauwen,
Faction.TWDirtclaws.Description,"Deze ex-Volkstaarten waren meer geïnteresseerd in de rotsen onder hun boerderij dan in beplanting.
Geweldige gravers, maar vreselijke boeren.
Hun motto: <i>Diepe gaten, diepere voldoening.</i>",
Faction.TWDirtclaws.GameOver.Message,Je Vuilklauwen sloegen uit in plaats van rijk te worden. Dit is het einde.,
Faction.TWDirtclaws.GameOver.Flavor,De hardste steen zal na verloop van tijd afbrokkelen.,
Building.DistrictCenter.FlavorDescription.TWDirtclaws,"""Diepe gaten, diepere voldoening."" —Vuilklauwen-motto",
UI.TW.MM.Contamination,Verontreiniging,
UI.TW.MM.TT.PlaceOreBottomBarButton,Plaats erts,
ModSetting.TWMoreMines.StopeHeight,Maximale hoogte van de goot,
ModSetting.TWMoreMines.StopeHeightDesc,Het maximale aantal niveau-chutes mag worden gemijnd. Geldig bereik 1-20,
ModSetting.TWMoreMines.ChuteBonus,Chute-bonus,
ModSetting.TWMoreMines.ChuteBonusDesc,"Mijnglijbanen genereren zoveel extra erts. 0 = geen bonus, 1,0 = dubbel. Geldig bereik 0-10.",
Building.TWJamStove.DisplayName,Vulfabriek,
Building.TWJamStove.Description,Pureert en kookt fruit tot taartvullingen.,
Building.TWJamStove.FlavorDescription,"Schoner dan het gebruik van de arrastra, maar niet zo leuk.",
Building.TWPastryOven.DisplayName,Gebakoven,
Building.TWPastryOven.Description,Een bakkerij gespecialiseerd in taarten en gebak,
Building.TWPastryOven.FlavorDescription,"Er zijn twee soorten bevers: degenen die de voorkeur geven aan de vulling, en degenen die de voorkeur geven aan houten taartvormen.",
Good.TWCarrotJuice.PluralDisplayName,Wortelsap,
Good.TWCarrotJuice.DisplayName,Wortelsap,
Building.TWOilPress.Description,Perst vloeistof uit geschikte planten.,
Building.TWOilPress.DisplayName,Druk op,
Building.TWEarthRevitalizer.DisplayName,Aarderevitalisator,
Building.TWEarthRevitalizer.Description,"Een gat in het midden van de aarde, waar bevers voedingsstoffen injecteren om de ondergrondse micro-ecosystemen nieuw leven in te blazen.
● <YellowHighlight>Alleen onder:</YellowHighlight> Moet op het laagste niveau van de kaart worden gebouwd.",
Building.TWEarthRevitalizer.FlavorDescription,"“Dieper, dieper, we gaan!” – Pina",
Faction.TWDirtclaws.WonderCompletionFlavor,"Nadat ze de diepste uithoeken van de aarde hadden doorzocht, deelden je bevers de vruchten van hun werk met de lijdende planeet. Er moeten nog veel tunnels worden gegraven, en Vuilklauwen zullen de beversoort naar een dieper, donkerder tijdperk leiden.",
