ID,Text,Comment
Good.Stew.PluralDisplayName,Stoofpot,�
Faction.waterbeavers.DisplayName,De Witpootjes,2
Faction.waterbeavers.Description,"<color=red> !!! ACTIVEER DE TUTORIAL !!!</color>
Volgers van het Ware Beverpad, voor hen is alles een huis. Hun bevolking explodeert vaak uit de hand, voedsel en water raken op, wetenschap is een luxe en jouw nederlaag is onvermijdelijk

 Vergeet wat andere facties je hebben geleerd en welkom in je roze nachtmerrie.
<color=red> !!! ACTIVEER DE TUTORIAL !!!</color>



<color=black>Beverkunst en texturen van Wolfess, enorm bedankt!
Veel iconen van Thorlak, ook enorm bedankt!
Met dank aan Grauschweif voor de aangepaste scripts!</color>",3
trashdump.DisplayName,Kapotte expeditiekar,4
trashdump.Description,"Je eerste wijkcentrum, als dat zo mag heten. Pas afbreken na bouwen van een beter stadscentrum.",5
trashdump.FlavorDescription,"'We kunnen niet verder, maar we kunnen ons hier wel vestigen'
 -De expeditieleider",6
Luc.Primitivemine.DisplayName,Primitieve mijn,7
Luc.Primitivemine.Description,Een kleine en inefficiënte manier om minerale hulpbronnen te verkrijgen,8
Luc.Primitivemine.FlavorDescription,'Bevers zijn niet bedoeld om rotsen te graven',9
Lapantouflemagic.Mediummine.DisplayName,Middelgrote mijn,10
Lapantouflemagic.Mediummine.Description,"Een grotere en diepere mijn om rijkere afzettingen te exploiteren, geeft ook toegang tot zeldzamere elementen.
Wordt geleverd met toegangstrappen en barrières om te voorkomen dat gekke kleine kits vallen en gewond raken.
<color=green>Moet in een gat van 4 diepten worden geplaatst!
Mijn en hekken moeten op vaste grond staan!
Plaats trappen op vuile plekken en voltooi de toegangshelling</color>",11
Lapantouflemagic.Mediummine.FlavorDescription,"""Ik geloof niet in geesten en monsters, wat moeten gres eigenlijk zijn?""
 -Mijnwerker Zork, laatste woorden",12
Lapantouflemagic.Primitivesmetler.DisplayName,Primitieve smelterij,13
Lapantouflemagic.Primitivesmetler.Description,"Een mengsel van ijzererts en steenkool in een smeltkroes van klei om in brand te steken.
<color=#FF6EC7>Kan functioneren zonder werknemers.</color>",14
Lapantouflemagic.Primitivesmetler.FlavorDescription,'Weten we zeker van het recept?',15
Lapantouflemagic.Woodburner.DisplayName,Houtkachel,16
Lapantouflemagic.Woodburner.Description,"Een speciale vuurplaats om hout om te zetten in houtskool.
<color=#FF6EC7>Kan functioneren zonder werknemers.</color>",17
Lapantouflemagic.Woodburner.FlavorDescription,"'O, dat zou een geweldige manier zijn om van... ehh... zaagsel af te komen! Ja, zaagsel... natuurlijk.'
 -Jack de Knapper",18
Lapantouflemagic.Screwpress.DisplayName,Schroefpers,19
Lapantouflemagic.Screwpress.Description,"Een sterke pers om olie uit zaden te halen, of sap uit fruit.
<color=#00FFFF>Werkt als dijk</color>",20
Lapantouflemagic.Screwpress.FlavorDescription,"""Zonnebloemolie, essentieel voor zowel salade als machines""",21
Lapantouflemagic.Alchemist.DisplayName,Alchemist,22
Lapantouflemagic.Alchemist.Description,"Een gezellig laboratorium om chemische basisreacties voor te bereiden.
<color=#00FFFF>Werkt als dijk</color>",23
