ID,Text,Comment
SmartProductionControl.Fragment.Title,Productiecontrole,Building panel section header
SmartProductionControl.Fragment.AutoPauseToggle,Automatische pauze,Main toggle in building panel
SmartProductionControl.Fragment.SettingsButton,Instellingen,Opens the settings popup
SmartProductionControl.Fragment.Status.Inactive,Inactief,Status when mod is disabled for this building
SmartProductionControl.Fragment.Status.Monitoring,Actief - controle,Status when running and no rule fired yet
SmartProductionControl.Fragment.Status.PausedNoPower,AUTOMATISCH GEPAUZED: Geen stroom,
SmartProductionControl.Fragment.Status.PausedDrought,AUTOMATISCH GEPAUZED: Gevaarlijk weer,
SmartProductionControl.Fragment.Status.PausedNight,AUTOMATISCH GEPAUZED: Nacht,
SmartProductionControl.Fragment.Status.PausedNoInput,AUTOMATISCH GEPAUZED: Invoerbronnen laag,
SmartProductionControl.Fragment.Status.PausedOutputFull,AUTOMATISCH GEPAUZED: Uitvoeropslag vol,
SmartProductionControl.Fragment.Status.PausedNoWork,AUTOMATISCH GEPAUZED: Niets te doen binnen bereik,
SmartProductionControl.Fragment.Status.PausedHighScience,AUTOMATISCH GEPAUZED Genoeg kennis opgeslagen,
SmartProductionControl.Fragment.Status.PausedGeneric,AUTOMATISCH GEPAUZED,
SmartProductionControl.Fragment.Status.ManuallyPaused,Handmatig gepauzeerd door speler,Status shown in the building panel when the player paused this building by hand
SmartProductionControl.Fragment.Status.ManuallyResumed,Handmatig gestart door de speler,Status shown when the player resumed an SPC-paused building by hand
SmartProductionControl.Fragment.ManuallyPaused.Banner,⏸ Handmatig gepauzeerd,Prominent banner shown when the building was paused by the player rather than by SPC
SmartProductionControl.Fragment.ManuallyPaused.Subtitle,"Hervat het gebouw handmatig, zodat Smart Production Control het weer kan beheren.",Banner subtitle explaining how to give control back to SPC
SmartProductionControl.Fragment.ManuallyResumed.Banner,▶ Handmatig gestart,Prominent banner shown when the player overrode an SPC auto-pause
SmartProductionControl.Fragment.ManuallyResumed.Subtitle,SPC zal dit gebouw niet pauzeren. Pauzeer het handmatig of druk hieronder op reset om de controle terug te geven aan SPC.,Banner subtitle for ManuallyResumed
SmartProductionControl.Fragment.ManualOverride.Reset,↻ Geef bediening terug aan SPC,Button to clear manual override flags and hand control back to SPC
SmartProductionControl.Fragment.Tag.Storage.Global,Globale opslag: {0}%/{1}%,Output fill rate tag (global stock mode)
SmartProductionControl.Fragment.Tag.Storage.District,Wijksopslag: {0}%/{1}%,Output fill rate tag (district stock mode)
SmartProductionControl.Fragment.Tag.Storage.Building,Gebouwopslag: {0}%/{1}%,Output fill rate tag (building-only inventory mode)
SmartProductionControl.Fragment.Tag.Input,Invoer: {0}%/{1}%,Input fill rate tag
SmartProductionControl.Fragment.Tag.PowerOn,Energie: ✓,
SmartProductionControl.Fragment.Tag.PowerOff,Energie: ✗,
SmartProductionControl.Fragment.Tag.WorkIdle,Werk: ✗,
SmartProductionControl.Fragment.Tag.WorkOk,Werk: ✓,
SmartProductionControl.Fragment.Tag.Drought,Droogte,
SmartProductionControl.Fragment.Tag.Night,Nacht,
SmartProductionControl.Fragment.Tag.Science,Wetenschap: {0}/{1},Inventor: current global Science vs threshold
SmartProductionControl.Fragment.Tag.NoRules,Geen regels actief,
SmartProductionControl.Settings.Title,Productiecontrole - Instellingen,Header in settings popup
SmartProductionControl.Settings.PresetLabel,Voorinstelling:,
SmartProductionControl.Settings.Section.ProductionRules,Productieregels,
SmartProductionControl.Settings.Section.Thresholds,Drempels,
SmartProductionControl.Settings.Section.StorageMode,Opslagmodus,
SmartProductionControl.Settings.Section.TimeBased,Tijdsgebaseerde regels,
SmartProductionControl.Settings.Toggle.OutputFull,Pauzeer wanneer de uitvoer vol is,
SmartProductionControl.Settings.Toggle.NoInput,Pauzeer wanneer er geen invoer is,
SmartProductionControl.Settings.Toggle.NoPower,Pauzeer wanneer er geen stroom is,
SmartProductionControl.Settings.Toggle.NoWork,Pauzeer als er niets te doen is,
SmartProductionControl.Settings.Toggle.Drought,Pauzeer tijdens droogte/slechte tij,
SmartProductionControl.Settings.Toggle.Night,Pauzeer 's nachts,
SmartProductionControl.Settings.Toggle.HighScience,Pauzeer als er voldoende kennis is,
SmartProductionControl.Settings.Slider.ScienceThreshold,Kennissdrempel:,
SmartProductionControl.Settings.Slider.PauseAt,Pauzeer op:,Output fill threshold to trigger pause
SmartProductionControl.Settings.Slider.ResumeAt,Hervatten bij:,Output fill threshold to resume
SmartProductionControl.Settings.Slider.InputMin,Min. invoer::,Minimum input fill rate before pause
SmartProductionControl.Settings.Status.Ok,OK,Live status indicator
SmartProductionControl.Settings.Status.Off,UIT,
SmartProductionControl.Settings.Status.Idle,INACTIEF,
SmartProductionControl.Settings.StorageMode.Global,Globaal,
SmartProductionControl.Settings.StorageMode.District,Wijk,
SmartProductionControl.Settings.StorageMode.Building,Gebouw,
SmartProductionControl.Dashboard.Title,Productiecontrole - Dashboard,
SmartProductionControl.Dashboard.SearchLabel,Zoekopdracht:,
SmartProductionControl.Dashboard.Filter.Status,Status:,
SmartProductionControl.Dashboard.Filter.Type,Type:,
SmartProductionControl.Dashboard.Filter.District,Wijk:,
