ID,Text,Comment
Faction.Emberpelts.DisplayName,Emberpelts,Name of a faction
Faction.Charcoal.DisplayName,Houtskool,
Faction.Emberpelts.Description,"De Emberpelts hebben een affiniteit met de kleur rood en blijven graag warm. Soms vinden ze het gewoon leuk om dingen te zien branden.
Ze houden er niet van om hun vacht nat te maken.
Hun motto: <i>Harten van vuur.</i>",Description of a beaver faction
Bot.DisplayName.Emberpelts,Emberbot {0},Bot name
Good.Brick.DisplayName,Baksteen,Item Name
Good.Brick.PluralDisplayName,Bakstenen,Plural Item Name
Good.Clay.DisplayName,Klei,Item Name
Good.Clay.PluralDisplayName,Klei,Plural Item Name
Good.Coal.DisplayName,Houtskool,Item Name
Good.Coal.PluralDisplayName,Houtskool,Plural Item Name
Good.Apple.DisplayName,Appel,Item Name
Good.Apple.PluralDisplayName,Appels,Plural Item Name
Good.AppleJuice.DisplayName,Appelsap,Item Name
Good.AppleJuice.PluralDisplayName,Appelsap,Plural Item Name
Good.Radish.DisplayName,Radijs,
Good.Radish.PluralDisplayName,Radijzen,
Good.Tomato.DisplayName,Tomaat,
Good.Tomato.PluralDisplayName,Tomaten,
Good.TomatoJuice.DisplayName,Tomatensap,
Good.TomatoJuice.PluralDisplayName,Tomatensap,
Good.Beetroot.DisplayName,Biet,
Good.Beetroot.PluralDisplayName,Bieten,
Good.RedJuice.DisplayName,Bieten- en Radijssap,
Good.RedJuice.PluralDisplayName,Bieten- en Radijssap,
Good.CornJuice.DisplayName,Maïs sap,
Good.CornJuice.PluralDisplayName,Maïs sap,
Good.Pepper.DisplayName,Paprika,
Good.Pepper.PluralDisplayName,Paprika's,
Good.Cornmeal.DisplayName,Maïsmeel,
Good.Cornmeal.PluralDisplayName,Maïsmeel,
Good.GrilledCorn.DisplayName,Gegrilde maïs,
Good.GrilledCorn.PluralDisplayName,Gegrilde maïs,
Good.GrilledPepper.DisplayName,Gegrilde paprika,
Good.GrilledPepper.PluralDisplayName,Gegrilde paprika's,
Good.ApplePie.DisplayName,Appeltaart,
Good.ApplePie.PluralDisplayName,Appeltaarten,
Good.Cornbread.DisplayName,Maïsbrood,
Good.Cornbread.PluralDisplayName,Maïsbrood,
Good.BakedBeetroot.DisplayName,Gebakken biet,
Good.BakedBeetroot.PluralDisplayName,Gebakken bieten,
Good.StuffedPepper.DisplayName,Gevulde paprika,
Good.StuffedPepper.PluralDisplayName,Gevulde paprika's,
Good.Fuel.DisplayName,Brandstof,
Good.Fuel.PluralDisplayName,Brandstof,
Good.Lubricant.DisplayName,Smeermiddel,
Good.Lubricant.PluralDisplayName,Smeermiddel,
Manufactory.Recipe.FuelRadish,Brandstof (Radijzen),
Manufactory.Recipe.FuelBeetroot,Brandstof (bieten),
Manufactory.Recipe.FuelCanola,Brandstof (canolazaden),
Manufactory.Recipe.FuelCorn,Brandstof (maïs),
Manufactory.Recipe.FuelBadwater,Brandstof (slechtwater),
Building.HalfRoof1x1.DisplayName,Half-dak 1x1,
Building.HalfRoof1x2.DisplayName,Half-dak 2x1,
Building.HalfRoof2x1.DisplayName,Half-dak 2x1,
Building.HalfRoof2x2.DisplayName,Half-dak 2x2,
Building.Lodge.Emberpelts.FlavorDescription,Een hut was maar een hut.,
Building.BigLodge.DisplayName,Grote loge,
Building.BigLodge.Description,Driemaal zo groot als de hut.,
Building.BigLodge.FlavorDescription,Veel ruimte.,
Building.VerticalLodge.DisplayName,Verticale loge,
Building.VerticalLodge.Description,Een hut die naar boven is gebouwd,
Building.VerticalLodge.FlavorDescription,De mogelijkheden zijn onbegrensd!,
Building.DoubleVerticalLodge.DisplayName,Dubbele verticale hut,
Building.DoubleVerticalLodge.Description,Het lijkt wel alsof er twee op elkaar liggen.,
Building.DoubleVerticalLodge.FlavorDescription,Groter! Hoger!,
Building.TenementLodge.DisplayName,Huurwoning,
Building.TenementLodge.Description,Een hele grote en hoge plek om te overnachten.,
Building.TenementLodge.FlavorDescription,Probeer de boel niet in de fik te steken.,
Building.Press.DisplayName,Pers,
Building.Press.Description,Perst olie of sap uit geschikte planten.,
Building.Press.FlavorDescription,"Nieuwsgierige kits gebruiken het om alles te pletten, van koekjes tot dennenappels.",
Building.Path2.DisplayName,Pad met leuningen,
Building.Path2.Description,Deze versie van het pad heeft altijd leuningen.,
Building.Path3.DisplayName,Houten pad,
Building.Path3.Description,Deze versie van het pad is gemaakt van hout.,
Building.Path4.DisplayName,Houten pad zonder leuningen,
Building.Path4.Description,Deze versie van het pad is gemaakt van hout en heeft nooit leuningen.,
Building.Path5.DisplayName,Houten pad met leuningen,
Building.Path5.Description,Deze versie van het pad is gemaakt van hout en heeft altijd leuningen.,
Building.AutomatedWaterPump.DisplayName,Geautomatiseerde waterpomp,
Building.AutomatedWaterPump.FlavorDescription,Geen bevers nodig!,
Building.ClayPit.DisplayName,Kleiput,
Building.ClayPit.Description,Een gemarkeerde plek voor het verzamelen van klei,
Building.ClayPit.FlavorDescription,Het is rommelig werk.,
Building.Kiln.DisplayName,Oven,
Building.Kiln.Description,Maakt houtskool van boomstammen en stenen van klei.,
Building.Kiln.FlavorDescription,"Brand maar, schatje!",
Building.SmallEngine.DisplayName,Kleine motor,
Building.SmallEngine.FlavorDescription,"Een geweldige uitvinding, de IJzertanden hebben ons ontwerp gejat!",
Building.Engine.Emberpelts.FlavorDescription,Het verbranden van steenkool vereist een verbeterd ontwerp.,
Building.FuelEngine.DisplayName,Vloeibare brandstofmotor,
Building.FuelEngine.FlavorDescription,Vloeibare brandstof is nog krachtiger voor het opwekken van energie.,
Building.PowerShaftVerticalTIntersection.DisplayName,Verticale T-kruising van de aandrijfas,
Building.PowerShaftUpwardTIntersection.DisplayName,Aandrijfas omhoog T-kruising,
Building.PowerShaftDownwardTIntersection.DisplayName,Aandrijfas neerwaartse T-kruising,
Building.DecorativeFloor.DisplayName,Decoratieve vloer,
Building.DecorativeFloor.Description,Puur decoratieve vloerbekleding.,
Building.LargeUndergroundTank.DisplayName,Ondergrondse tank,
Building.UndergroundWarehouse.DisplayName,Ondergronds magazijn,
Building.IndustrialPile.DisplayName,Industriële stapel,
Building.TubewayStation.Small.DisplayName,Klein metrostation,
Building.TubewayLevee.DisplayName,Dijk metro,
NaturalResource.AppleTree.DisplayName,Appelboom,
NaturalResource.AppleTree.FlavorDescription,De zaden werden meegebracht door reizigers uit verre landen.,
NaturalResource.Beetroot.DisplayName,Biet,
NaturalResource.Beetroot.FlavorDescription,Paars. Smaakt lekker als het in olie wordt gekookt en bedekt met siroop.,
NaturalResource.Pepper.DisplayName,Paprika,
NaturalResource.Pepper.FlavorDescription,Alleen de dapperen eten dit rauw.,
NaturalResource.Radish.DisplayName,Radijs,
NaturalResource.Radish.FlavorDescription,Bitter. Je zou waarschijnlijk liever een wortel hebben.,
NaturalResource.Tomato.DisplayName,Tomaat,
NaturalResource.Tomato.FlavorDescription,Sappig,
Need.Fire.DisplayName,Vuur,
Need.DryFur.DisplayName,Droge vacht,
ToolGroups.Clay,Klei,
ToolGroups.Platforms,Platforms en overhangen,
ToolGroups.Industry,Industrie,
ToolGroups.Bridges,Bruggen,
Building.Wonder.Emberpelts.DisplayName,Wonder van vuur,
Building.Wonder.Emberpelts.Description,Verdeelt hulpbronnen over de hele aarde. Bij het lanceren worden de bevers in de omgeving extra blij.,
Building.Wonder.Emberpelts.FlavorDescription,Het lijkt mij een grote vuurplaats.,
Faction.Emberpelts.WonderCompletionFlavor,"Nadat ze grote rijkdom en kennis hadden verzameld, probeerden je bevers de vruchten van hun arbeid te delen met de lijdende planeet. Helaas ging alles in vlammen op. Je bevers hebben tenminste dingen zien branden!",
Faction.Emberpelts.WonderCompletionMessage,Gefeliciteerd! Je beheerst Emberpelts en hebt de grondstoffen van deze kaart gebruikt om het wonder van de factie te bouwen.,
Building.LumberMill.Large.DisplayName,Grote houtzagerij,
Building.Smelter.Large.DisplayName,Grote smelterij,
Building.GearWorkshop.Large.DisplayName,Grote tandwielwerkplaats,
Good.PhoenixEssence.DisplayName,Feniks Essentie,
Good.PhoenixEssence.PluralDisplayName,Feniks Essentie,
Need.Juice.DisplayName,Sap,
Building.Floodgate.Flat.DisplayName,Platte sluisdeur,
Building.DoubleFloodgate.Flat.DisplayName,Dubbele sluisdeur met platte bovenkant,
Building.TripleFloodgate.Flat.DisplayName,Drievoudige sluisdeur met platte bovenkant,
Building.Floodgate.Flat.Description,"Blokkeert water tot een instelbare hoogte. Een nieuw, compacter ontwerp zodat je er bovenop kunt bouwen.",
Building.PhoenixDistillery.DisplayName,Phoenix-distilleerderij,
Building.PhoenixDistillery.Description,Voor de productie van Phoenix Essence,
Manufactory.Recipe.BadwaterRig.PurifiedWater,Gezuiverd water,
