ID,Text,Comment
TerrainTools.ToolGroupButton.Label,Extra terreinhulpmiddelen,Should be same as mod name
TerrainTools.KeyBindingGroup.Label,Terrein gereedschap,Label for mod group in keybindings
TerrainTools.Keybinding.Undo,Ongedaan maken,Undo keybinding name (CTRL Z)
TerrainTools.Keybinding.FastUndo,Ongedaan maken x5,Fast Undo keybinding name (CTRL SHIFT Z)
TerrainTools.Keybinding.Redo,Opnieuw uitvoeren,Redo keybinding name (CTRL Y)
TerrainTools.Keybinding.FastRedo,Opnieuw uitvoeren x5,Fast Redo keybinding name (CTRL SHIFT Y)
TerrainTools.Keybinding.CycleMode,Cyclusmodus,"Cycle Mode keybinding name, used by Mound Maker"
TerrainTools.Keybinding.Selection.AdjustUp,Verplaats selectie omhoog,Selection Adjust Up keybinding name
TerrainTools.Keybinding.Selection.AdjustDown,Verplaats selectie omlaag,Selection Adjust Down keybinding name
TerrainTools.Keybinding.Selection.AdjustForward,Verplaats selectie naar voren,Selection Adjust Forward keybinding name
TerrainTools.Keybinding.Selection.AdjustBack,Verplaats selectie naar achteren,Selection Adjust Back keybinding name
TerrainTools.Keybinding.Selection.AdjustLeft,Verplaats selectie naar links,Selection Adjust Left keybinding name
TerrainTools.Keybinding.Selection.AdjustRight,Verplaats selectie naar rechts,Selection Adjust Right keybinding name
TerrainTools.Keybinding.Selection.AdjustModifier,Selectiegrootte aanpassen (vasthouden),Selection Adjust Modifier keybinding name
TerrainTools.Keybinding.Selection.Copy,Kopieer selectie,Selection Copy keybinding name
TerrainTools.Keybinding.Selection.Cut,Selectie knippen,Selection Cut keybinding name
TerrainTools.Keybinding.Selection.Paste,Selectie plakken,Selection Paste keybinding name
TerrainTools.Keybinding.Selection.RotateCW,Roteer selectie rechtsom,Selection Rotate Clockwise keybinding name
TerrainTools.Keybinding.Selection.RotateCCW,Roteer selectie linksom,Selection Rotate Counter-Clockwise keybinding name
TerrainTools.Keybinding.Selection.Flip,Selectie spiegelen,Selection Flip along axis facing camera keybinding name
TerrainTools.Keybinding.Selection.Reset,Selectie opnieuw instellen,Selection Reset keybinding name
TerrainTools.Common.Button.Apply,Toepassen,Generic button to apply currently selected tool and options to the terrain
TerrainTools.Common.Button.Reset,Opnieuw instellen,Generic button to reset the options in the selected tool
TerrainTools.Heightmap.Tool.Title,Hoogtekaartgenerator,Title of the tool
TerrainTools.Heightmap.Tool.Warning,Wijzigingen hebben invloed op de hele kaart,"Warning that the tool has a global effect, displayed just above the toolbar in orange"
TerrainTools.Heightmap.Button.Generate,Genereer,Generate button label
TerrainTools.Heightmap.Checkbox.ClearObjects,Wis bestaande objecten,Checkbox label for clearing existing objects on or off
TerrainTools.Heightmap.Generate.Hint,Klik op {0} om het terrein bij te werken.,"{0} contains the name of the generate button in bold, text is italicised"
TerrainTools.Heightmap.Generate.Warning,{0} wordt verwijderd. Deze actie kan niet ongedaan worden gemaakt.,{0} contains the text from Clear.WaterSourcesOnly or Clear.All
TerrainTools.Heightmap.Clear.WaterSourcesOnly,Alle waterbronnen,"Text displayed when in mode: clear all objects, text will be highlighted by colour"
TerrainTools.Heightmap.Clear.All,Alle objecten,"Text displayed when in mode: clear water sources only, text will be highlighted by colour"
TerrainTools.Heightmap.Status.Idle,Inactief,"Status text when not generating map, keep short"
TerrainTools.Heightmap.Status.Generating,Genereren,"Status text when generating map, keep short, is follow by percentage of map generated"
TerrainTools.Heightmap.Seed.Label,Zaad,"Label of the Seed editable field, keep same length as Seed.Lock.Label if possible"
TerrainTools.Heightmap.Seed.Lock.Label,Slot,"Label of the checkbox to lock the seed field from editing, keep same length as Seed.Label if possible"
TerrainTools.Heightmap.Slider.LOD,Detailniveau,Label for slider controlling how much surface detail the generator will create
TerrainTools.Heightmap.Slider.Amplitude,Amplitude,Label for slider controlling the amplitude of the noise function i.e. how high/low the hills/valleys are
TerrainTools.Heightmap.Slider.Frequency,Frequentie,Label for slider controlling the frequency of the noise function i.e. how many hills/valleys there are
