ID,Text,Comment
LV.BCEv.CampfireMystery.WaitNight,Wacht op de nacht...,
LV.BCEv.CampfireMystery.WaitPrompt,"Nu het kampvuur is gebouwd, lijkt de kolonie al warmer.
Bevers kijken ernaar tussen taken door en wisselen gissingen uit over de verhalen die zullen worden verteld aan het einde van de werkdag. Sommigen willen oude legendes. Sommigen willen grappen. Je houdt vol dat elk echt kampvuurverhaal minstens één mysterieuze klap nodig heeft.
Verzamel de kolonie als het laat wordt.
[[C]]Wacht tot [[time:{0:0}h]] om het verhaal te beginnen.",
LV.BCEv.CampfireMystery1,Kampvuurmysterie: de staart die driemaal klopte,
LV.BCEv.CampfireMystery1.Content,"Het kampvuur brandt laag en de kolonie komt dichterbij. In eerste instantie behoort de avond tot gewone dingen: vermoeide poten, warm licht, oude grappen en het geruststellende geknetter van hout dat as wordt. Dan klinkt er iets vanuit het donker achter het vuurlicht.
[[C]]<YellowHighlight><i>Klop. Klop. Klop.</i></YellowHighlight>
Niemand beweegt. Een jonge bever fluistert dat hij uit de bomen kwam. Een ouderling houdt vol dat het gewoon oud hout was. Iemand anders wijst erop dat oud hout meestal niet beleefd wacht tussen de stoten door.
Het vuur knettert. Vonken drijven omhoog. Ieder oog richt zich naar het donker achter de cirkel. Dan komt het weer.
[[C]]<YellowHighlight><i>Klop. Klop. Klop.</i></YellowHighlight>
Deze keer is het geluid dichterbij. Tegen de ochtend vindt de kolonie modderige pootafdrukken bij de opslagpalen, een paar ontbrekende voorraden en een vreemde spiraal die in een plank is gekrast. Het lijkt bijna op de staart van een bever, al had de bever die hem tekende er nog nooit een duidelijk gezien. Tegen zonsondergang heeft elke bever een theorie.
[[C]]Een geest uit de Old Banks.
[[C]]Een dief met hele kleine pootjes.
[[C]]Een waarschuwing uit het bos.
[[C]]Een grap van iemand met te veel vrije tijd.
[[C]]<i>Of iets ergers.</i>
Vanavond zal het kampvuur weer branden. De kolonie moet beslissen welk antwoord ze uit het donker wil.",
LV.BCEv.CampfireMystery1.C1,Voed het vuur,
LV.BCEv.CampfireMystery1.C1N,[[C]]Betaal [[good:{0}:{1}]] om het kampvuur de hele nacht helder te houden.,
LV.BCEv.CampfireMystery1.C2,Laat voedsel buiten het licht,
LV.BCEv.CampfireMystery1.C2N,"[[C]]Betaal [[good:{0}:{1}]] als aas, eerbetoon of diner. Het verschil is vooral vertrouwen.",
LV.BCEv.CampfireMystery1.C3,Vraag de uitvinder om te luisteren,
LV.BCEv.CampfireMystery1.C3N,[[C]]Betaal [[good:{0}:{1}]] om het kloppen te onderzoeken met iets dat betrouwbaarder is dan paniek.,
