ID,Text,Comment
UI.TW.TradeOffice.TT.TopBarCredits,Handelskredieten,
UI.TW.TradeOffice.CurrentGood,Handelen: {0}.  Handelssaldo: {1}, 0 will be the name of the good 1 will be the import/export ratio.
UI.TW.TradeOffice.ManualBuyAndSellPrice,Kopen bij {0} / verkopen bij {1}, 0 will be the buy price and 1 will be the sell price.
UI.TW.TradeOffice.ManualBuyPrice_SellBlocked,Kopen bij {0} Exporteren niet toegestaan.,
UI.TW.TradeOffice.ManualBuyBlocked_SellPrice,Verkoop tegen {0} Importeren niet toegestaan.,
UI.TW.TradeOffice.TradingNotAllowed,Import en export niet toegestaan.,
UI.TW.TradeOffice.AutoBuyAndSellPrice,Automatisch importeren op {0} / Automatisch exporteren op {1}, 0 will be the buy price and 1 will be the sell price.
UI.TW.TradeOffice.AutoBuyPrice_SellBlocked,Automatisch importeren op {0} Exporteren niet toegestaan.,
UI.TW.TradeOffice.AutoBuyBlocked_SellPrice,Automatisch exporteren op {0} Importeren niet toegestaan.,
UI.TW.TradeOffice.BuyN,Koop {0}, 0 will be the number to buy.
UI.TW.TradeOffice.SellN,Verkoop {0}, 0 will be the number to sell.
UI.TW.TradeOffice.Credits,{0}, This is the top-bar credit display. 0 will be the number of credits.
UI.TW.TradeOffice.TT.UserBuy,Koop goederen. Het werkelijke bedrag kan lager zijn als er geen ruimte is of als je tegoeden mist. Er worden alleen kosten in rekening gebracht voor de goederen die je ontvangt. De prijs wordt voor elk gekocht artikel opnieuw berekend.,
UI.TW.TradeOffice.TT.UserSell,Verkoop goederen. Het werkelijke bedrag kan lager zijn als er niet voldoende beschikbaar zijn. De prijs wordt voor elk verkocht artikel opnieuw berekend.,
UI.TW.TradeOffice.NoWorkerNeeded,Geen arbeider nodig,
UI.TW.TradeOffice.WorkerSummoned,Arbeider opgeroepen,
UI.TW.TradeOffice.WorkerSummonedIn,De werknemer wordt over {0} uur opgeroepen,
UI.TW.TradeOffice.SciencePoints,Kennis,
UI.TW.TradeOffice.AutomateImport,Automatiseer het importeren,
UI.TW.TradeOffice.TT.AutomateImportToggle,Stel regels in voor wanneer je wilt importeren,
UI.TW.TradeOffice.TT.ShowSettings,Instellingen weergeven,
UI.TW.TradeOffice.TT.HideSettings,Instellingen verbergen,
Building.TWTradeOffice.DisplayName,Handelskantoor,
Building.TWTradeOffice.Description,"Maakt het kopen en verkopen van grondstoffen mogelijk. Om te kunnen werken moet de achterwand een pakhuis, opslagplaats, tank of wetenschappelijk gebouw raken.",
Building.TWTradeOffice.FlavorDescription,"Vraag niet waar de goederen naartoe gaan, en raad ook niet waar ze vandaan komen.",
UI.TW.TradeOffice.UnknownGood,Onbekend,
UI.TW.TradeOffice.MaxBuyPrice,Prijs hieronder,
UI.TW.TradeOffice.TT.MaxBuyPrice,Goederen worden pas geïmporteerd als de prijs lager is,
UI.TW.TradeOffice.BuyCreditLimit,Credits hierboven,
UI.TW.TradeOffice.TT.BuyCreditLimit,Goederen worden alleen geïmporteerd als er minimaal zoveel credits overblijven.,
UI.TW.TradeOffice.BuyMaxAmount,Districtsvoorraad hieronder,
UI.TW.TradeOffice.TT.BuyMaxAmount,Goederen zullen worden geïmporteerd wanneer het districtsaanbod onder dit niveau ligt,
UI.TW.TradeOffice.BuyMaxAmountIsPercent,Het voorraadniveau is procent,
UI.TW.TradeOffice.TT.BuyMaxAmountIsPercent,"Het voorraadniveau van het district wordt behandeld als een percentage van de capaciteit, in plaats van als een aantal artikelen",
UI.TW.TradeOffice.CannotTradeUnknownGood,Kan niet handelen als er geen goed is ingesteld,
UI.TW.TradeOffice.AutomateExport,Automatiseer de export,
UI.TW.TradeOffice.TT.AutomateExportToggle,Stel regels in voor wanneer je wilt exporteren,
UI.TW.TradeOffice.MinSellPrice,Prijs hierboven,
UI.TW.TradeOffice.TT.MinSellPrice,Goederen worden pas verkocht als de prijs hoger is,
UI.TW.TradeOffice.SellCreditLimit,Kredieten minder dan,
UI.TW.TradeOffice.TT.SellCreditLimit,Goederen worden alleen verkocht als je credits lager zijn dan dit,
UI.TW.TradeOffice.SellMinAmount,Districtsvoorraad hierboven,
UI.TW.TradeOffice.TT.SellMinAmount,Goederen worden alleen verkocht als de districtsvoorraad groter is dan dit niveau,
UI.TW.TradeOffice.SellMinAmountIsPercent,Het voorraadniveau is procent,
UI.TW.TradeOffice.TT.SellMinAmountIsPercent,"Het voorraadniveau van het district wordt behandeld als een percentage van de capaciteit, in plaats van als een aantal artikelen",
UI.TW.TradeOffice.SellWhen,Verkoop wanneer:,
UI.TW.TradeOffice.BuyWhen,Koop wanneer:,
UI.TW.TradeOffice.NoWorkStatus,Geen handel te doen,
UI.TW.TradeOffice.NoGoodStatus,"Geen opslaggebouw aangesloten, of geen goede set",
UI.TW.TradeOffice.WorkerDelay,Werkersvertraging,
UI.TW.TradeOffice.TT.WorkerDelay,"Er is uitstel nodig na de handel, maar voordat een arbeider wordt opgeroepen. Gebruik om cyclisch werknemersgedrag te verminderen. Waarde is in beveruren.",
