ID,Text,Comment
minorunara.ToriiGates.PrimitiveToriiGate.DisplayName,Primitieve Torii-poort,
minorunara.ToriiGates.PrimitiveToriiGate.Description,Primitieve toriipoort gemaakt van geassembleerde boomstammen.,
minorunara.ToriiGates.PrimitiveToriiGate.Flavor,"Het is niet bekend waarom de torii-poort werd gebouwd, maar de gangbare theorie is dat deze bedoeld was om heerlijke houtblokken aan te bieden aan de beverkoning.",
minorunara.ToriiGates.SimpleToriiGate.DisplayName,Eenvoudige Torii-poort,
minorunara.ToriiGates.SimpleToriiGate.Description,Een eenvoudige toriipoort gemaakt van planken.,
minorunara.ToriiGates.SimpleToriiGate.Flavor,"""Hé, dat is een smakelijk uitziende torii-poort!"" —Pina",
minorunara.ToriiGates.DemoToriiGate.DisplayName,Demoversie van de Torii-poort,
minorunara.ToriiGates.DemoToriiGate.Description,Dit is een reproductie van de toriipoort die bestond toen Timberborn nog een demoversie was.,
minorunara.ToriiGates.DemoToriiGate.Flavor,"""Het is een voorproefje van de geschiedenis."" —Pina",
minorunara.ToriiGates.IronToriiGate.DisplayName,IJzeren Torii-poort,
minorunara.ToriiGates.IronToriiGate.Description,Shinmei torii-poort gemaakt van ijzer.,
minorunara.ToriiGates.IronToriiGate.Flavor,"Veel bevers knagen aan het simpele toriipoortje, dus hebben wij dit tegengegaan door ze van ijzer te maken.",
minorunara.ToriiGates.TreatedToriiGate.DisplayName,Behandelde Torii-poort,
minorunara.ToriiGates.TreatedToriiGate.Description,Myojin torii-poort.,
minorunara.ToriiGates.TreatedToriiGate.Flavor,Luxe torii gemaakt van het fijnste hout bedekt met dennenhars. Een groot aantal bevers houdt de wacht om er zeker van te zijn dat niemand eraan knaagt.,
minorunara.ToriiGates.HugeToriiGateFT.DisplayName,Grote houten Torii-poort,
minorunara.ToriiGates.HugeToriiGateFT.Description,De toriipoort van het Itsukushima-heiligdom is zo groot dat het onmogelijk lijkt om hem naar de bodem van de dam te laten zinken.,
minorunara.ToriiGates.HugeToriiGateFT.Flavor,De samensmelting van natuur en technologie heeft geleid tot de creatie van een geavanceerde toriipoort die bestand is tegen het knagen door bevers.,
minorunara.ToriiGates.HugeToriiGateIT.DisplayName,Grote metalen Torii-poort,
minorunara.ToriiGates.HugeToriiGateIT.Description,De toriipoort van het Kumano Hongu Taisha-heiligdom is zo groot dat hij vanuit een ander district te zien is. Onnodig te zeggen dat het oneetbaar is.,
minorunara.ToriiGates.HugeToriiGateIT.Flavor,"""Maar ik dacht dat torii oorspronkelijk gemaakt waren voor de grote bevers om te eten?"" —Pina",
minorunara.ToriiGates.ToriiCategory.DisplayName,Torii-poorten,
minorunara.ToriiGates.ToriiCategory.Description,Leve de Shinto Bevers!,
minorunara.ToriiGates.OrdinaryToriiGateNeed.DisplaynameLocKey,Gewone Torii-poort,
minorunara.ToriiGates.GorgeousToriiGateNeed.DisplaynameLocKey,Prachtige Torii-poort,
minorunara.ToriiGates.GreatToriiGateNeed.DisplaynameLocKey,Grote Torii-poort,
minorunara.Lantern.ForwardFacingBench.DisplayName,Naar voren gerichte bank,
minorunara.Lantern.ForwardFacingBench.Description,Een bankje met een pad naar de achterkant.,
minorunara.Lantern.ForwardFacingBench.Flavor,"""Hoe zijn ze binnengekomen?"" —pmduda",
minorunara.Lantern.LanternCategory.DisplayName,lantaarns,
minorunara.Lantern.LanternCategory.Description,Gloeit 's nachts.,
minorunara.Lantern.IndoorLantern.DisplayName,Binnenlantaarn,
minorunara.Lantern.IndoorLantern.Description,"Hoewel het een binnenlantaarn wordt genoemd, kan deze ook buiten worden geïnstalleerd.",
